"cinsiyet","","","yil","il","sayi",""
"","","","","İzmir(Aliağa)-1128","740",""
"","","","","İzmir(Balçova)-2006","384",""
"","","","","İzmir(Bayındır)-1178","246",""
"","","","","İzmir(Bayraklı)-2056","2438",""
"","","","","İzmir(Bergama)-1181","640",""
"","","","","İzmir(Beydağ)-1776","62",""
"","","","","İzmir(Bornova)-1203","3053",""
"","","","","İzmir(Buca)-1780","3427",""
"","","","","İzmir(Çeşme)-1251","255",""
"","","","","İzmir(Çiğli)-2007","1298",""
"","","","","İzmir(Dikili)-1280","206",""
"","","","","İzmir(Foça)-1334","160",""
"","","","","İzmir(Gaziemir)-2009","993",""
"","","","","İzmir(Güzelbahçe)-2018","134",""
"","","","","İzmir(Karabağlar)-2057","3631",""
"","","","","İzmir(Karaburun)-1432","40",""
"","","","","İzmir(Karşıyaka)-1448","1719",""
"","","","","İzmir(Kemalpaşa)-1461","757",""
"","","","","İzmir(Kınık)-1467","220",""
"","","","","İzmir(Kiraz)-1477","304",""
"","","","","İzmir(Konak)-1819","2393",""
"","","","","İzmir(Menderes)-1826","575",""
"","","","","İzmir(Menemen)-1521","1303",""
"","","","","İzmir(Narlıdere)-2013","374",""
"","","","","İzmir(Ödemiş)-1563","777",""
"","","","","İzmir(Seferihisar)-1611","202",""
"","","","","İzmir(Selçuk)-1612","241",""
"","","","","İzmir(Tire)-1677","526",""
"","","","","İzmir(Torbalı)-1682","1363",""
"","","","","İzmir(Urla)-1703","272",""
"","","","","Kahramanmaraş(Afşin)-1107","833",""
"","","","","Kahramanmaraş(Andırın)-1136","233",""
"","","","","Kahramanmaraş(Çağlayancerit)-1785","271",""
"","","","","Kahramanmaraş(Dulkadiroğlu)-2084","2472",""
"","","","","Kahramanmaraş(Ekinözü)-1919","121",""
"","","","","Kahramanmaraş(Elbistan)-1299","1446",""
"","","","","Kahramanmaraş(Göksun)-1353","490",""
"","","","","Kahramanmaraş(Nurhak)-1975","99",""
"","","","","Kahramanmaraş(Onikişubat)-2085","4230",""
"","","","","Kahramanmaraş(Pazarcık)-1570","717",""
"","","","","Kahramanmaraş(Türkoğlu)-1694","890",""
"","","","","Karabük(Eflani)-1296","40",""
"","","","","Karabük(Eskipazar)-1321","70",""
"","","","","Karabük(Merkez)-1433","732",""
"","","","","Karabük(Ovacık)-1561","15",""
"","","","","Karabük(Safranbolu)-1587","369",""
"","","","","Karabük(Yenice)-1856","104",""
"","","","","Karaman(Ayrancı)-1768","57",""
"","","","","Karaman(Başyayla)-1884","27",""
"","","","","Karaman(Ermenek)-1316","211",""
"","","","","Karaman(Kazımkarabekir)-1862","31",""
"","","","","Karaman(Merkez)-1439","1528",""
"","","","","Karaman(Sarıveliler)-1983","91",""
"","","","","Kars(Akyaka)-1756","119",""
"","","","","Kars(Arpaçay)-1149","163",""
"","","","","Kars(Digor)-1279","300",""
"","","","","Kars(Kağızman)-1424","617",""
"","","","","Kars(Merkez)-1447","1186",""
"","","","","Kars(Sarıkamış)-1601","605",""
"","","","","Kars(Selim)-1614","271",""
"","","","","Kars(Susuz)-1645","97",""
"","","","","Kastamonu(Abana)-1101","22",""
"","","","","Kastamonu(Ağlı)-1867","19",""
